Value,Count,TERTV8,SECV8N,SECV8,PRIMV8N,PRIMV8,CL18N,CL18,AGIND
562,7,5.6.2 Hydro electricity generation,56,5.6 Utilities,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
563,418,5.6.3 Wind electricity generation,56,5.6 Utilities,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
564,118,5.6.4 Solar electricity generation,56,5.6 Utilities,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
565,575,5.6.5 Electricity substations and transmission,56,5.6 Utilities,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
566,918,"5.6.6 Gas treatment, storage and transmission",56,5.6 Utilities,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
567,1012,5.6.7 Water extraction and transmission,56,5.6 Utilities,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
570,1146,5.7.0 Transport and communication,57,5.7 Transport and communication,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
571,15588,5.7.1 Airports/aerodromes,57,5.7 Transport and communication,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
572,2888,5.7.2 Roads,57,5.7 Transport and communication,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
573,397,5.7.3 Railways,57,5.7 Transport and communication,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
574,148,5.7.4 Ports and water transport,57,5.7 Transport and communication,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
575,2762,5.7.5 Navigation and communication,57,5.7 Transport and communication,5,5 Intensive uses,14,Urban intensive uses,Not agricultural industry
580,48256,5.8.0 Mining,58,5.8 Mining,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
581,22370,5.8.1 Mines,58,5.8 Mining,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
582,16300,5.8.2 Quarries,58,5.8 Mining,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
583,5710,5.8.3 Tailings,58,5.8 Mining,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
584,12914,5.8.4 Extractive industry not in use,58,5.8 Mining,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
590,992,5.9.0 Waste treatment and disposal,59,5.9 Waste treatment and disposal,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
591,4954,5.9.1 Effluent pond,59,5.9 Waste treatment and disposal,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
592,1166,5.9.2 Landfill,59,5.9 Waste treatment and disposal,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
593,366,5.9.3 Solid garbage,59,5.9 Waste treatment and disposal,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
595,2401,5.9.5 Sewage/sewerage,59,5.9 Waste treatment and disposal,5,5 Intensive uses,17,Mining and waste,Not agricultural industry
600,31486,6.0.0 Water,62,6.0 Water,6,6 Water,18,Water,Not agricultural industry
610,1157341,6.1.0 Lake,61,6.1 Lake,6,6 Water,18,Water,Not agricultural industry
611,844450,6.1.1 Lake - conservation,61,6.1 Lake,6,6 Water,18,Water,Not agricultural industry
612,59776,6.1.2 Lake - production,61,6.1 Lake,6,6 Water,18,Water,Not agricultural industry
613,467,6.1.3 Lake - intensive use,61,6.1 Lake,6,6 Water,18,Water,Not agricultural industry
614,375,6.1.4 Lake - saline,61,6.1 Lake,6,6 Water,18,Water,Not agricultural industry
620,14255,6.2.0 Reservoir/dam,62,6.2 Reservoir/dam,6,6 Water,18,Water,Not agricultural industry
621,146830,6.2.1 Reservoir,62,6.2 Reservoir/dam,6,6 Water,18,Water,Not agricultural industry
622,19844,6.2.2 Water storage - intensive use/farm dams,62,6.2 Reservoir/dam,6,6 Water,18,Water,Not agricultural industry
623,6948,6.2.3 Evaporation basin,62,6.2 Reservoir/dam,6,6 Water,18,Water,Not agricultural industry
630,654022,6.3.0 River,63,6.3 River,6,6 Water,18,Water,Not agricultural industry
631,100757,6.3.1 River - conservation,63,6.3 River,6,6 Water,18,Water,Not agricultural industry
632,87,6.3.2 River - production,63,6.3 River,6,6 Water,18,Water,Not agricultural industry
633,1881,6.3.3 River - intensive use,63,6.3 River,6,6 Water,18,Water,Not agricultural industry
640,537,6.4.0 Channel/aqueduct,64,6.4 Channel/aqueduct,6,6 Water,18,Water,Not agricultural industry
641,258,6.4.1 Supply channel/aqueduct,64,6.4 Channel/aqueduct,6,6 Water,18,Water,Not agricultural industry
642,190,6.4.2 Drainage channel/aqueduct,64,6.4 Channel/aqueduct,6,6 Water,18,Water,Not agricultural industry
643,6,6.4.3 Stormwater,64,6.4 Channel/aqueduct,6,6 Water,18,Water,Not agricultural industry
650,373885,6.5.0 Marsh/wetland,65,6.5 Marsh/wetland,6,6 Water,18,Water,Not agricultural industry
651,402639,6.5.1 Marsh/wetland - conservation,65,6.5 Marsh/wetland,6,6 Water,18,Water,Not agricultural industry
652,737379,6.5.2 Marsh/wetland - production,65,6.5 Marsh/wetland,6,6 Water,18,Water,Not agricultural industry
653,574,6.5.3 Marsh/wetland - intensive use,65,6.5 Marsh/wetland,6,6 Water,18,Water,Not agricultural industry
654,70831,6.5.4 Marsh/wetland - saline,65,6.5 Marsh/wetland,6,6 Water,18,Water,Not agricultural industry
660,296353,6.6.0 Estuary/coastal waters,66,6.6 Estuary/coastal waters,6,6 Water,18,Water,Not agricultural industry
661,115919,6.6.1 Estuary/coastal waters - conservation,66,6.6 Estuary/coastal waters,6,6 Water,18,Water,Not agricultural industry
662,72,6.6.2 Estuary/coastal waters - production,66,6.6 Estuary/coastal waters,6,6 Water,18,Water,Not agricultural industry
663,50,6.6.3 Estuary/coastal waters - intensive use,66,6.6 Estuary/coastal waters,6,6 Water,18,Water,Not agricultural industry
